,episode,total_reward
840,840,-408.41499999999996
841,841,-408.505
842,842,-108.607
843,843,-108.85500000000002
844,844,-109.10400000000001
845,845,-109.35300000000001
846,846,-109.602
847,847,-409.804
848,848,-109.905
849,849,-22410.659999999996
850,850,-410.67
851,851,-410.759
852,852,-18686.208999999995
853,853,-411.328
854,854,-111.43
855,855,-111.679
856,856,-111.92699999999999
857,857,-112.17600000000002
858,858,-112.39000000000001
859,859,-112.65100000000001
860,860,-112.9
861,861,-113.149
862,862,-113.398
863,863,-113.64699999999999
864,864,-113.89600000000002
865,865,-114.14500000000001
866,866,-114.394
867,867,-114.643
868,868,-114.892
869,869,-115.14099999999999
870,870,-415.343
871,871,-115.445
872,872,-115.69400000000002
873,873,-115.94200000000001
874,874,-116.191
875,875,-116.44
876,876,-116.654
877,877,-116.91300000000001
878,878,-117.162
879,879,-117.41
880,880,-117.65800000000002
881,881,-117.906
882,882,-118.154
883,883,-118.40200000000002
884,884,-118.65
885,885,-118.898
886,886,-119.14600000000002
887,887,-119.39500000000001
888,888,-119.644
889,889,-119.892
890,890,-120.14099999999999
891,891,-120.35500000000002
892,892,-120.571
893,893,-120.82
894,894,-121.06900000000002
895,895,-121.31800000000001
896,896,-121.56700000000001
897,897,-121.816
898,898,-122.065
899,899,-122.314
900,900,-122.56200000000001
901,901,-122.811
902,902,-123.06
903,903,-123.309
904,904,-123.523
905,905,-123.739
906,906,-123.988
907,907,-124.23600000000002
908,908,-124.48400000000001
909,909,-124.732
910,910,-124.98000000000002
911,911,-125.22800000000001
912,912,-125.477
913,913,-125.726
914,914,-125.975
915,915,-126.22300000000001
916,916,-126.43700000000001
917,917,-426.68399999999997
918,918,-126.785
919,919,-127.03399999999999
920,920,-127.28300000000002
921,921,-127.53200000000001
922,922,-127.781
923,923,-128.03
924,924,-128.279
925,925,-128.52700000000002
926,926,-128.776
927,927,-129.025
928,928,-129.274
929,929,-129.488
930,930,-129.703
931,931,-129.951
932,932,-130.199
933,933,-130.447
934,934,-130.695
935,935,-130.943
936,936,-131.191
937,937,-131.439
938,938,-131.687
939,939,-131.935
940,940,-132.184
941,941,-132.433
942,942,-132.681
943,943,-432.918
944,944,-133.019
945,945,-133.23600000000002
946,946,-133.48600000000002
947,947,-133.735
948,948,-133.984
949,949,-134.234
950,950,-134.483
