,vehicle_id,time,input acceleration,desire acceleration
264,car.forward,0.25,0.0,0.0
265,car.leftforward0,0.25,-1.0,-1.0
266,car.leftforward1,0.25,-0.08758434405986577,-0.08758434405986577
267,car.leftforward2,0.25,0.0,0.0
268,car.leftrear0,0.25,0.561706664824475,0.561706664824475
269,car.leftrear1,0.25,0.8839516012028523,0.8839516012028523
270,car.rightforward0,0.25,0.032246668103940695,0.032246668103940695
271,car.rightforward1,0.25,-1.0,-1.0
272,car.rightforward2,0.25,0.0,0.0
273,car.rightrear0,0.25,-1.0,-1.0
274,car.rightrear1,0.25,0.5017218062768958,0.5017218062768958
275,car.forward,0.26,0.0,0.0
276,car.leftforward0,0.26,-1.0,-1.0
277,car.leftforward1,0.26,-0.08679145436397989,-0.08679145436397989
278,car.leftforward2,0.26,0.0,0.0
279,car.leftrear0,0.26,0.5630999717017335,0.5630999717017335
280,car.leftrear1,0.26,0.8692097474413396,0.8692097474413396
281,car.rightforward0,0.26,0.02529593263494387,0.02529593263494387
282,car.rightforward1,0.26,-1.0,-1.0
283,car.rightforward2,0.26,0.0,0.0
284,car.rightrear0,0.26,-1.0,-1.0
285,car.rightrear1,0.26,0.49743013787165236,0.49743013787165236
286,car.forward,0.27,0.0,0.0
287,car.leftforward0,0.27,-1.0,-1.0
288,car.leftforward1,0.27,-0.08600356590081049,-0.08600356590081049
289,car.leftforward2,0.27,0.0,0.0
290,car.leftrear0,0.27,0.5643884274354516,0.5643884274354516
291,car.leftrear1,0.27,0.8545557713030387,0.8545557713030387
292,car.rightforward0,0.27,0.01838375322075622,0.01838375322075622
293,car.rightforward1,0.27,-1.0,-1.0
294,car.rightforward2,0.27,0.0,0.0
295,car.rightrear0,0.27,-1.0,-1.0
296,car.rightrear1,0.27,0.4931252609772775,0.4931252609772775
297,car.forward,0.28,0.0,0.0
298,car.leftforward0,0.28,-1.0,-1.0
299,car.leftforward1,0.28,-0.08522065193101298,-0.08522065193101298
300,car.leftforward2,0.28,0.0,0.0
301,car.leftrear0,0.28,0.5655731950676433,0.5655731950676433
302,car.leftrear1,0.28,0.8399892191345006,0.8399892191345006
303,car.rightforward0,0.28,0.011509940473187708,0.011509940473187708
304,car.rightforward1,0.28,-1.0,-1.0
305,car.rightforward2,0.28,0.0,0.0
306,car.rightrear0,0.28,-1.0,-1.0
307,car.rightrear1,0.28,0.48880745885570415,0.48880745885570415
308,car.forward,0.29,0.0,0.0
309,car.leftforward0,0.29,-1.0,-1.0
310,car.leftforward1,0.29,-0.08444268584297757,-0.08444268584297757
311,car.leftforward2,0.29,0.0,0.0
312,car.leftrear0,0.29,0.5666554285291019,0.5666554285291019
313,car.leftrear1,0.29,0.8255096393887993,0.8255096393887993
314,car.rightforward0,0.29,0.004674305846103788,0.004674305846103788
315,car.rightforward1,0.29,-1.0,-1.0
316,car.rightforward2,0.29,0.0,0.0
317,car.rightrear0,0.29,-1.0,-1.0
318,car.rightrear1,0.29,0.4844770122914769,0.4844770122914769
319,car.forward,0.3,0.0,0.0
320,car.leftforward0,0.3,-1.0,-1.0
321,car.leftforward1,0.3,-0.08366964115227377,-0.08366964115227377
322,car.leftforward2,0.3,0.0,0.0
323,car.leftrear0,0.3,0.5676362726988732,0.5676362726988732
324,car.leftrear1,0.3,0.8111165826166633,0.8111165826166633
325,car.rightforward0,0.3,-0.002123338367974792,-0.002123338367974792
326,car.rightforward1,0.3,-1.0,-1.0
327,car.rightforward2,0.3,0.0,0.0
328,car.rightrear0,0.3,-1.0,-1.0
329,car.rightrear1,0.3,0.4801341996082757,0.4801341996082757
330,car.forward,0.31,0.0,0.0
331,car.leftforward0,0.31,-1.0,-1.0
332,car.leftforward1,0.31,-0.08290149150109798,-0.08290149150109798
333,car.leftforward2,0.31,0.0,0.0
334,car.leftrear0,0.31,0.5685168634633957,0.5685168634633957
335,car.leftrear1,0.31,0.7968096014576301,0.7968096014576301
336,car.rightforward0,0.31,-0.008883179041235145,-0.008883179041235145
337,car.rightforward1,0.31,-1.0,-1.0
338,car.rightforward2,0.31,0.0,0.0
339,car.rightrear0,0.31,-1.0,-1.0
340,car.rightrear1,0.31,0.4757792966853768,0.4757792966853768
341,car.forward,0.32,0.0,0.0
342,car.leftforward0,0.32,-1.0,-1.0
343,car.leftforward1,0.32,-0.08213821065772145,-0.08213821065772145
344,car.leftforward2,0.32,0.0,0.0
345,car.leftrear0,0.32,0.5692983277752968,0.5692983277752968
346,car.leftrear1,0.32,0.7825882506312517,0.7825882506312517
347,car.rightforward0,0.32,-0.01560540221393969,-0.01560540221393969
348,car.rightforward1,0.32,-1.0,-1.0
349,car.rightforward2,0.32,0.0,0.0
350,car.rightrear0,0.32,-1.0,-1.0
351,car.rightrear1,0.32,0.47141257697399724,0.47141257697399724
352,car.forward,0.33,0.0,0.0
353,car.leftforward0,0.33,-1.0,-1.0
354,car.leftforward1,0.33,-0.08137977251595513,-0.08137977251595513
355,car.leftforward2,0.33,0.0,0.0
356,car.leftrear0,0.33,0.5699817837118424,0.5699817837118424
357,car.leftrear1,0.33,0.7684520869283235,0.7684520869283235
358,car.rightforward0,0.33,-0.022290193097777133,-0.022290193097777133
359,car.rightforward1,0.33,-1.0,-1.0
360,car.rightforward2,0.33,0.0,0.0
361,car.rightrear0,0.33,-1.0,-1.0
362,car.rightrear1,0.33,0.4670343115135586,0.4670343115135586
363,car.forward,0.34,0.0,0.0
364,car.leftforward0,0.34,-1.0,-1.0
365,car.leftforward1,0.34,-0.08062615109457827,-0.08062615109457827
366,car.leftforward2,0.34,0.0,0.0
367,car.leftrear0,0.34,0.5705683405330724,0.5705683405330724
368,car.leftrear1,0.34,0.7544006692021438,0.7544006692021438
369,car.rightforward0,0.34,-0.028937736079190646,-0.028937736079190646
370,car.rightforward1,0.34,-1.0,-1.0
371,car.rightforward2,0.34,0.0,0.0
372,car.rightrear0,0.34,-1.0,-1.0
373,car.rightrear1,0.34,0.462644768947843,0.462644768947843
